Race/ethnic,Average _math score,Average of reading score,Average of writing score,
group E,74,73,71,
group D,67,70,70,
group C,64,69,68,
group B,63,67,66,
group A,62,65,63,
Grand Total,66,69,68,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
test prep,Average of math score,Average of reading score,Average of writing score,
completed,70,74,74,
none,64,67,65,
Grand Total,66,69,68,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
parental level,Average of math score,Average of reading score,Average of writing score,
some high school,63,67,65,
some college,67,69,69,
master's degree,70,75,76,
high school,62,65,62,
bachelor's degree,69,73,73,
associate's degree,68,71,70,
Grand Total,66,69,68,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
parental level,Average of math score,Average of reading score,Average of writing score,
free/reduced,59,65,63,
standard,70,72,71,
Grand Total,66,69,68,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total subject performance,# of students that did well,,,
A-grader,324,,,
Average grader,658,,,
F-grader,18,,,
Grand Total,1000,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maths subject performance,# of students that did well,,,
Average,551,,,
Excellent,409,,,
Fail,40,,,
Grand Total,1000,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Reading score performance,# of students that did well,,,
Average,461,,,
Excellent,513,,,
Fail,26,,,
Grand Total,1000,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Writing score performance,# of students that did well,,,
Average,479,,,
Excellent,489,,,
Fail,32,,,
Grand Total,1000,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Sum of Average total score per Gender,,,,
203.312,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Parental level,Average Total score performance,,,
master's degree,220.7966102,,,
bachelor's degree,215.7711864,,,
associate's degree,208.7072072,,,
some college,205.4292035,,,
some high school,195.3240223,,,
high school,189.2908163,,,
